Modelo,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro)
Árbol de Decisión,0.5626159554730983,0.5682402293930391,0.5626597180750909,0.5639088774297577
Random Forest,0.5575139146567718,0.5692491038152858,0.5573138293734895,0.5592122667862891
